CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng),symbol,Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư vào công ty liên doanh,Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Đầu tư vào công ty con,Tài sản cố định thuê tài chính,Chênh lệch đánh giá lại tài sản,Cổ đông thiểu số,Lợi thế thương mại,Vốn Ngân sách nhà nước và quỹ khác,_Các quỹ khác
VCB,2020,2,,11863544000000,,,,,,,6723876000000,,2329091000000,,1.18587E+15,1.09629E+15,,,89578460000000,,344657000000,34845164000000,93499000000,1.18587E+15,,,,,,,37088774000000,,,,,,,1678126000000,,,VCB,71566703000000,150761888000000,3556653000000,3641851000000,-85198000000,0,754374040000000,770744422000000,-16370382000000,163458200000000,28375703000000,135577712000000,-495215000000,725965000000,-75000000000,4409846000000,2314030000000,21237667000000,10326096000000,48404237000000,981240858000000,59126000000,17930000000,21294140000000,34950815000000,42428820000000,12183712000000,27265000000,0,,0,0,,,
VCB,2020,1,,13051765000000,,,,,,,6551316000000,,2487109000000,,1.14427E+15,1.0592E+15,,,85071986000000,,344657000000,30234825000000,88480000000,1.14427E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,16569663000000,176540624000000,4119276000000,4251400000000,-132124000000,0,739956924000000,754505321000000,-14548397000000,164724158000000,33877042000000,131308990000000,-461874000000,974286000000,-75000000000,4285267000000,2266049000000,20269427000000,32453089000000,43642452000000,934048243000000,365859000000,19090000000,21371902000000,27297641000000,42428820000000,12186084000000,18249000000,0,,115528000000,0,,,
VCB,2019,4,,13778357000000,,,,,,,6695785000000,,2464493000000,,1.22398E+15,1.13823E+15,,,85753348000000,,344657000000,33669545000000,82124000000,1.22398E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,34684091000000,248729494000000,1801146000000,1889628000000,-88482000000,98312000000,724290102000000,734706891000000,-10416789000000,167529868000000,35699090000000,132271302000000,-440524000000,951670000000,-75000000000,4434514000000,2261271000000,23909398000000,92365806000000,73621719000000,928413676000000,0,20431000000,21383932000000,22422134000000,42428820000000,9443008000000,16840000000,0,,113011000000,0,,,
VCB,2019,3,,12321593000000,,,,,,,6322844000000,,2500312000000,,1.15749E+15,1.0761E+15,,,81390894000000,,344657000000,29285510000000,79032000000,1.15749E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,32427277000000,216739273000000,3454865000000,3531164000000,-76299000000,89200000000,693973370000000,708095934000000,-14122564000000,169626712000000,43498998000000,126563376000000,-435662000000,979487000000,-66998000000,4146505000000,2176339000000,20034561000000,79127286000000,41331112000000,902184481000000,0,22116000000,21320813000000,32113305000000,42428820000000,9441199000000,40434000000,0,,115899000000,0,,,
VCB,2019,2,,12011456000000,,,,,,,6439761000000,,2480250000000,,1.12265E+15,1.04626E+15,,,76397332000000,,344657000000,24262720000000,76456000000,1.12265E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,50092949000000,174170889000000,4986634000000,5053763000000,-67129000000,108943000000,682822870000000,695437925000000,-12615055000000,166995578000000,38707837000000,128735924000000,-448183000000,959425000000,-66998000000,4259646000000,2180115000000,22545228000000,79605943000000,48792342000000,871229465000000,0,23911000000,21339119000000,25266446000000,42428820000000,9443149000000,69370000000,0,,116817000000,0,,,
VCB,2019,1,,10339124000000,,,,,,,6379677000000,,2505232000000,,1.07333E+15,1.00034E+15,,,72991878000000,,344657000000,20845932000000,72554000000,1.07333E+15,,,,,,,37088774000000,,,,,,,1635418000000,,,VCB,39616873000000,169677886000000,4064542000000,4133808000000,-69266000000,95343000000,661260823000000,673021770000000,-11760947000000,155710612000000,33580660000000,122424846000000,-294894000000,936812000000,-66998000000,4294994000000,2084683000000,23681852000000,79113565000000,39264447000000,838277163000000,0,25339000000,21349085000000,22310487000000,42428831000000,9445732000000,79973000000,0,,118856000000,0,,,
VCB,2018,4,,12792045000000,,,,,,,6527924000000,,2477138000000,,1.07298E+15,1.00909E+15,,,63889089000000,,344657000000,20029479000000,68991000000,1.07298E+15,,,,,,,35977686000000,,,,,,,1635418000000,,,VCB,10845701000000,248255997000000,2653746000000,2725051000000,-71305000000,275983000000,622358428000000,632632508000000,-10274080000000,149296310000000,35321139000000,114251030000000,-275859000000,908719000000,-66999000000,4459750000000,2068174000000,17500006000000,90685315000000,76523514000000,802222944000000,0,25803000000,21461132000000,18175481000000,36322343000000,7264843000000,84402000000,0,,119031000000,0,,,
VCB,2018,3,,9857302000000,,,,,,,6140145000000,,3213660000000,,995111405000000,933584926000000,,,61526479000000,,344657000000,17650348000000,83588000000,995111405000000,,,,,,,35977686000000,,,,,,,2349073000000,,,VCB,30488651000000,152373565000000,3744047000000,3819597000000,-75550000000,14493000000,616408960000000,627950675000000,-11541715000000,159115162000000,40997646000000,118446566000000,-329050000000,889726000000,-25139000000,4204238000000,1935907000000,13755420000000,81234750000000,34175703000000,773406098000000,0,27050000000,21095279000000,23646046000000,36322343000000,7254472000000,108454000000,0,,107274000000,0,,,
VCB,2018,2,,12662976000000,,,,,,,5993507000000,,3289920000000,,977681955000000,919078771000000,,,58603184000000,,344657000000,14737469000000,98471000000,977681955000000,,,,,,,35977686000000,,,,,,,2425519000000,,,VCB,13341730000000,142502643000000,8289267000000,8359718000000,-70451000000,0,596234984000000,606052672000000,-9817688000000,182871587000000,66150721000000,117011609000000,-290743000000,889540000000,-25139000000,4044348000000,1949159000000,12495341000000,71700823000000,39529573000000,764496671000000,375822000000,28274000000,21172268000000,21775340000000,36322343000000,7258817000000,80804000000,0,,105280000000,0,,,
VCB,2018,1,,9656186000000,,,,,,,6077063000000,,3398372000000,,1.00391E+15,947840056000000,,,56065738000000,,0,12217085000000,93270000000,1.00391E+15,,,,,,,35977686000000,,,,,,,2536486000000,,,VCB,27848779000000,157073981000000,12497227000000,12565202000000,-67975000000,945052000000,568031472000000,577614527000000,-9583055000000,205137354000000,99846994000000,105458038000000,-167678000000,887024000000,-25138000000,4128275000000,1948788000000,13240308000000,131380979000000,40590347000000,730986638000000,0,26758000000,18295001000000,26560333000000,36321931000000,7253682000000,96485000000,0,,83285000000,0,,,
