CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,symbol,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
TCB,2019,1,0.2196212692,6073781000000,2082825000000,0.01649366602,,,,,,,,,,,-1607495000000,,,,,,2616989000000,-524880000000,0,2092109000000,-9284000000,2082825000000,TCB,6073781000000,-2643365000000,3430416000000,817225000000,-319303000000,497922000000,9162000000,84597000000,63970000000,948587000000,-642875000000,305712000000,34000000,4391813000000,2784318000000,-167329000000,-524880000000,
TCB,2018,4,0.2234176022,5637304000000,2253527000000,-0.1180371856,,,,,,,,,,,-2108849000000,,,,,,2886806000000,-622057000000,0,2264749000000,-11222000000,2253527000000,TCB,5637304000000,-2616916000000,3020388000000,1688201000000,-326998000000,1361203000000,-12948000000,53396000000,52950000000,1351481000000,-771105000000,580376000000,0,5055365000000,2946516000000,-59710000000,-622057000000,
TCB,2018,3,0.3635073605,5677781000000,2059564000000,0.2071058493,,,,,,,,,,,-1314671000000,,,,,,2577858000000,-518294000000,0,2059564000000,0,2059564000000,TCB,5677781000000,-2560876000000,3116905000000,1171873000000,-239737000000,932136000000,48455000000,116620000000,-39389000000,875759000000,-415343000000,460416000000,0,4635143000000,3320472000000,-742614000000,-518294000000,
TCB,2018,2,0.1121097149,4916458000000,2100748000000,0.8673879922,,,,,,,,,,,-1150302000000,,,,,,2627683000000,-526935000000,0,2100748000000,0,2100748000000,TCB,4916458000000,-2412512000000,2503946000000,869954000000,-182030000000,687924000000,152927000000,-12145000000,301222000000,549731000000,-185934000000,363797000000,275000000,3997946000000,2847644000000,-219961000000,-526935000000,
TCB,2018,1,0.1313853274,4980055000000,2049029000000,0.9343181318,,,,,,,,,,,-1267035000000,,,,,,2568785000000,-517983000000,-1773000000,2049029000000,0,2049029000000,TCB,4980055000000,-2433383000000,2546672000000,660317000000,-168622000000,491695000000,45317000000,10562000000,441802000000,370198000000,-140894000000,229304000000,894428000000,4659780000000,3392745000000,-823960000000,-519756000000,
TCB,2017,4,0.1631445015,4607833000000,2555127000000,1.975891238,,,,,,,,,,,-1553432000000,,,,,,3195925000000,-635598000000,-5200000000,2555127000000,0,2555127000000,TCB,4607833000000,-2138874000000,2468959000000,2424063000000,-176868000000,2247195000000,75162000000,22432000000,361608000000,713230000000,-66015000000,647215000000,63000000,5822634000000,4269202000000,-1073277000000,-640798000000,
TCB,2017,3,0.04594932944,4164100000000,1706200000000,0.6689196724,,,,,,,,,,,-1218247000000,,,,,,2106325000000,-399265000000,-860000000,1706200000000,0,1706200000000,TCB,4164100000000,-2108740000000,2055360000000,746698000000,-102905000000,643793000000,84240000000,94686000000,300067000000,400123000000,-96904000000,303219000000,271000000,3481636000000,2263389000000,-157064000000,-400125000000,
TCB,2017,2,0.0995528256,4420839000000,1124966000000,0.4201318932,,,,,,,,,,,-1017084000000,,,,,,1409281000000,-264489000000,-19826000000,1124966000000,0,1124966000000,TCB,4420839000000,-2198923000000,2221916000000,705434000000,-159612000000,545822000000,30347000000,105023000000,100679000000,578639000000,-47412000000,531227000000,0,3535014000000,2517930000000,-1108649000000,-284315000000,
TCB,2017,1,0.1667019632,4401732000000,1059303000000,1.226633343,,,,,,,,,,,-1080393000000,,,,,,1324767000000,-265464000000,0,1059303000000,0,1059303000000,TCB,4401732000000,-2217555000000,2184177000000,643490000000,-97524000000,545966000000,88836000000,174589000000,93406000000,271433000000,-38203000000,233230000000,355192000000,3675396000000,2595003000000,-1270236000000,-265464000000,
TCB,2016,4,0.1150391042,3961531000000,858609000000,1.284956595,,,,,,,,,,,-1265044000000,,,,,,1132445000000,-298862000000,25026000000,858609000000,0,858609000000,TCB,3961531000000,-2046875000000,1914656000000,723154000000,-216785000000,506369000000,78632000000,49997000000,110353000000,695187000000,-241989000000,453198000000,0,3113205000000,1848161000000,-715716000000,-273836000000,
